user_id,total_sessions,conversion_rate,avg_page_clicks,total_page_clicks,avg_session_duration_minutes,last_session,total_trips,completed_trips,trips_per_session,total_revenue,avg_revenue_per_trip,revenue_per_session,avg_lead_time,avg_trip_duration,seats,checked_bags,rooms,nights,cancel_rate,one_way_ratio,discount_ratio,flight_ratio,hotel_ratio,avg_distance_km,account_age_days,age,has_children,married,has_trips,has_revenue,segment_label
13357,5,0.6,15.0,75,1.85,2023-05-16 19:32:37.000,3,3,0.6,10972.06,3657.35,2194.41,4 days 09:49:31.333333,9.0,1.0,0.5,1.33,7.67,0.0,0.0,0.0,0.67,1.0,1496.0,792,45,False,True,True,True,High Value
13891,5,0.8,19.0,95,2.33,2023-05-17 20:49:10.000,4,4,0.8,13875.79,3468.95,2775.16,6 days 12:13:05,11.0,1.67,0.0,1.75,10.0,0.0,0.0,0.75,0.75,1.0,1643.0,791,41,False,False,True,True,High Value
14395,5,0.2,10.4,52,1.28,2023-07-15 13:00:24.000,1,1,0.2,15527.75,15527.75,3105.55,280 days 19:59:36,11.0,5.0,4.0,,,0.0,0.0,0.0,1.0,0.0,3076.0,790,40,True,True,True,True,High Value
16160,5,0.4,16.6,83,2.07,2023-07-16 16:24:33.000,2,2,0.4,9760.0,4880.0,1952.0,7 days 28:30:43.5,8.0,,,2.0,8.0,0.0,0.0,0.0,0.0,1.0,,785,25,False,False,True,True,High Value
18082,5,0.4,17.6,88,2.16,2023-07-19 15:14:39.000,2,2,0.4,9133.34,4566.67,1826.67,4 days 29:20:31,6.5,2.0,0.5,2.0,5.0,0.0,0.0,0.0,1.0,1.0,1986.0,781,55,True,False,True,True,High Value
18246,5,0.8,17.8,89,2.21,2023-05-06 09:05:16.000,4,4,0.8,13927.64,3481.91,2785.53,4 days 19:44:48.5,5.5,2.0,1.0,2.5,5.5,0.0,0.0,0.25,0.75,0.5,3717.0,781,41,True,False,True,True,High Value
20476,5,0.6,17.2,86,2.11,2023-07-19 04:55:48.000,3,3,0.6,14646.69,4882.23,2929.34,5 days 28:43:00,3.0,2.67,0.33,2.67,1.67,0.0,0.0,0.33,1.0,1.0,2259.0,776,35,False,False,True,True,High Value
24240,5,0.2,41.0,205,13.91,2023-03-18 18:04:21.000,2,1,0.4,8740.95,4370.48,1748.19,5 days 13:55:39,13.0,2.0,0.5,2.0,7.5,0.5,0.0,0.0,1.0,1.0,2279.0,767,50,False,True,True,True,High Value
24854,5,0.6,14.6,73,1.81,2023-06-22 20:49:43.000,3,3,0.6,16263.16,5421.05,3252.63,8 days 30:22:21.333333,5.33,2.0,0.33,2.5,6.5,0.0,0.0,0.0,1.0,0.67,2438.0,766,44,False,False,True,True,High Value
28584,5,0.6,18.0,90,2.22,2023-03-26 17:27:56.000,3,3,0.6,13123.27,4374.42,2624.65,8 days 24:47:21,10.33,1.0,1.5,1.5,14.0,0.0,0.0,1.0,0.67,0.67,1698.0,758,45,False,True,True,True,High Value
34862,5,0.4,14.0,70,1.74,2023-05-08 06:35:21.000,2,2,0.4,9051.4,4525.7,1810.28,71 days 07:23:21,5.5,2.0,1.0,1.0,3.0,0.0,0.0,0.5,0.5,0.5,12071.0,743,20,False,False,True,True,High Value
37292,6,0.33,21.83,131,2.71,2023-07-19 00:16:10.000,2,2,0.33,13165.39,6582.7,2194.23,132 days 15:46:11,9.5,1.5,0.5,1.0,8.0,0.0,0.5,0.0,1.0,1.0,7264.0,736,48,False,True,True,True,High Value
39760,5,0.2,23.0,115,2.79,2023-05-13 18:15:11.000,1,1,0.2,11244.0,11244.0,2248.8,6 days 14:30:11,6.0,,,2.0,6.0,0.0,0.0,0.0,0.0,1.0,,729,71,False,True,True,True,High Value
40246,5,0.8,22.6,113,2.78,2023-05-26 01:58:05.000,4,4,0.8,10880.73,2720.18,2176.15,10 days 14:37:07,8.75,1.75,0.75,1.75,7.5,0.0,0.0,0.75,1.0,1.0,2524.0,727,38,False,True,True,True,High Value
48128,5,0.2,14.0,70,1.74,2023-06-11 14:17:58.000,1,1,0.2,13908.0,13908.0,2781.6,12 days 17:44:31,19.0,,,2.0,19.0,0.0,0.0,0.0,0.0,1.0,,698,52,False,False,True,True,High Value
58743,5,0.4,27.6,138,3.41,2023-06-01 06:08:08.000,2,2,0.4,16578.09,8289.05,3315.62,171 days 20:42:49,14.5,1.5,1.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,7649.0,657,35,False,True,True,True,High Value
61192,5,0.4,18.8,94,2.32,2023-05-24 15:51:21.000,2,2,0.4,14996.03,7498.02,2999.21,115 days 26:57:34,6.5,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.5,0.5,8844.0,648,36,True,True,True,True,High Value
65884,5,0.6,32.0,160,3.99,2023-07-19 19:20:30.000,3,3,0.6,12170.37,4056.79,2434.07,80 days 22:06:23.333333,7.0,1.33,0.67,1.0,6.0,0.0,0.33,0.33,1.0,1.0,5713.0,633,51,False,True,True,True,High Value
66195,5,0.4,11.0,55,1.39,2023-07-05 19:15:22.000,2,2,0.4,19963.7,9981.85,3992.74,185 days 19:13:31,8.5,3.0,1.5,3.0,3.0,0.0,0.0,0.5,1.0,0.5,6481.0,632,55,True,True,True,True,High Value
69214,5,0.8,30.4,152,3.73,2023-06-15 17:24:09.000,4,4,0.8,11333.64,2833.41,2266.73,9 days 25:37:36.75,4.25,1.75,0.75,1.75,2.25,0.0,0.0,0.0,1.0,1.0,2440.0,623,54,False,False,True,True,High Value
69819,5,0.4,13.2,66,1.64,2023-07-16 14:04:58.000,2,2,0.4,12138.0,6069.0,2427.6,28 days 15:01:38.5,17.5,,,1.0,17.5,0.0,0.0,0.0,0.0,1.0,,622,48,True,True,True,True,High Value
70810,5,0.8,25.0,125,3.09,2023-07-02 19:35:24.000,4,4,0.8,15412.6,3853.15,3082.52,82 days 17:39:34,7.5,1.75,1.75,1.5,6.0,0.0,0.0,0.5,1.0,1.0,3840.0,619,54,False,True,True,True,High Value
72700,5,1.0,19.4,97,2.42,2023-07-03 12:50:00.000,5,5,1.0,9243.32,1848.66,1848.66,9 days 18:10:35,6.6,1.0,0.33,1.2,6.2,0.0,0.2,0.6,0.6,1.0,2006.0,614,41,False,False,True,True,High Value
77578,5,0.4,16.0,80,2.0,2023-06-12 08:34:58.000,2,2,0.4,14569.31,7284.66,2913.86,7 days 14:34:20,10.0,1.0,1.0,1.5,9.0,0.0,0.0,0.0,0.5,1.0,2446.0,602,46,True,True,True,True,High Value
79333,5,0.8,20.8,104,2.6,2023-06-05 16:40:28.000,4,4,0.8,10988.17,2747.04,2197.63,6 days 13:50:00.25,10.25,1.0,0.75,1.0,11.67,0.0,0.0,0.25,1.0,0.75,2815.0,598,52,False,False,True,True,High Value
79431,5,0.2,6.8,34,0.86,2023-05-27 16:38:17.000,1,1,0.2,11828.42,11828.42,2365.68,224 days 17:21:43,8.0,2.0,1.0,,,0.0,0.0,0.0,1.0,0.0,15171.0,598,69,False,True,True,True,High Value
