user_id,total_sessions,conversion_rate,avg_page_clicks,total_page_clicks,avg_session_duration_minutes,last_session,total_trips,completed_trips,trips_per_session,total_revenue,avg_revenue_per_trip,revenue_per_session,avg_lead_time,avg_trip_duration,seats,checked_bags,rooms,nights,cancel_rate,one_way_ratio,discount_ratio,flight_ratio,hotel_ratio,avg_distance_km,account_age_days,age,has_children,married,has_trips,has_revenue,segment_label
1220,5,0.2,12.6,63,1.56,2023-05-15 21:33:53.000,1,1,0.2,3760.0,3760.0,752.0,7 days 23:21:55,5.0,,,2.0,5.0,0.0,0.0,0.0,0.0,1.0,,842,39,True,False,True,True,Low Activity Leisure
6490,5,0.2,10.4,52,1.29,2023-07-11 10:58:15.000,1,1,0.2,1683.66,1683.66,336.73,8 days 15:13:27,11.0,1.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,2279.0,810,26,False,False,True,True,Low Activity Leisure
6685,5,0.2,20.2,101,2.53,2023-06-15 16:45:07.000,1,1,0.2,340.0,340.0,68.0,4 days 13:21:23,5.0,,,1.0,5.0,0.0,0.0,0.0,0.0,1.0,,810,17,False,False,True,True,Low Activity Leisure
8063,5,0.2,22.8,114,2.81,2023-04-20 17:29:53.000,1,1,0.2,1036.8,1036.8,207.36,3 days 17:30:07,6.0,,,1.0,6.0,0.0,0.0,1.0,0.0,1.0,,806,24,False,False,True,True,Low Activity Leisure
10866,5,0.2,12.8,64,1.59,2023-07-11 11:35:14.000,1,1,0.2,437.4,437.4,87.48,3 days 14:37:29,9.0,,,1.0,9.0,0.0,0.0,1.0,0.0,1.0,,798,22,False,False,True,True,Low Activity Leisure
10931,5,0.2,21.0,105,2.57,2023-07-16 15:51:29.000,1,1,0.2,1273.5,1273.5,254.7,8 days 21:14:32,5.0,,,1.0,5.0,0.0,0.0,1.0,0.0,1.0,,798,33,False,False,True,True,Low Activity Leisure
12065,5,0.2,10.4,52,1.29,2023-03-26 08:35:27.000,1,1,0.2,2418.0,2418.0,483.6,3 days 02:24:33,31.0,,,1.0,31.0,0.0,0.0,0.0,0.0,1.0,,795,58,True,True,True,True,Low Activity Leisure
14717,5,0.4,8.2,41,1.02,2023-06-05 21:34:22.000,2,2,0.4,1707.0,853.5,341.4,11 days 28:45:11.5,6.5,,,2.5,6.5,0.0,0.0,0.0,0.0,1.0,,789,17,True,False,True,True,Low Activity Leisure
15574,5,0.2,15.0,75,1.88,2023-07-06 16:34:14.000,1,1,0.2,4546.78,4546.78,909.36,9 days 08:01:17,10.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,1.0,2569.0,787,16,False,False,True,True,Low Activity Leisure
15649,5,0.2,10.4,52,1.29,2023-04-16 18:23:35.000,1,1,0.2,2176.45,2176.45,435.29,252 days 12:36:25,11.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,5825.0,787,32,True,False,True,True,Low Activity Leisure
17026,5,0.2,21.0,105,2.59,2023-06-04 19:01:30.000,1,1,0.2,840.0,840.0,168.0,6 days 06:09:00,2.0,,,2.0,2.0,0.0,0.0,0.0,0.0,1.0,,784,29,False,False,True,True,Low Activity Leisure
18118,5,0.2,15.8,79,1.95,2023-06-16 18:37:46.000,1,1,0.2,948.6,948.6,189.72,6 days 06:27:31,9.0,,,1.0,9.0,0.0,0.0,1.0,0.0,1.0,,781,17,False,False,True,True,Low Activity Leisure
18138,5,0.2,27.0,135,3.37,2023-03-27 19:01:23.000,1,1,0.2,7915.2,7915.2,1583.04,12 days 19:35:24,8.0,,,3.0,8.0,0.0,0.0,1.0,0.0,1.0,,781,55,False,True,True,True,Low Activity Leisure
18312,5,0.4,15.8,79,1.95,2023-07-16 19:53:39.000,2,2,0.4,4193.0,2096.5,838.6,5 days 30:26:22,9.5,,,1.0,9.5,0.0,0.0,0.0,0.0,1.0,,780,57,True,True,True,True,Low Activity Leisure
18985,5,0.4,16.6,83,2.04,2023-06-06 21:39:00.000,2,2,0.4,1551.0,775.5,310.2,9 days 13:32:52.5,4.5,,,1.0,4.5,0.0,0.0,0.5,0.0,1.0,,779,25,False,True,True,True,Low Activity Leisure
19415,5,0.2,26.8,134,3.32,2023-05-06 08:14:32.000,1,1,0.2,760.0,760.0,152.0,2 days 19:09:30,8.0,,,1.0,8.0,0.0,0.0,0.0,0.0,1.0,,778,30,False,False,True,True,Low Activity Leisure
21052,6,0.17,12.5,75,1.57,2023-03-20 16:32:37.000,1,1,0.17,936.0,936.0,156.0,5 days 18:27:23,5.0,,,2.0,5.0,0.0,0.0,1.0,0.0,1.0,,774,25,False,False,True,True,Low Activity Leisure
22231,5,0.2,13.4,67,1.67,2023-06-28 19:38:04.000,1,1,0.2,392.0,392.0,78.4,10 days 23:04:15,4.0,,,1.0,4.0,0.0,0.0,0.0,0.0,1.0,,772,23,False,False,True,True,Low Activity Leisure
23557,7,0.29,7.14,50,0.9,2023-07-14 12:37:09.000,2,2,0.29,3670.5,1835.25,524.36,12 days 19:34:48,10.0,,,1.5,10.0,0.0,0.0,0.5,0.0,1.0,,769,64,False,True,True,True,Low Activity Leisure
25324,5,0.2,23.2,116,2.9,2023-05-20 20:44:48.000,1,1,0.2,2462.21,2462.21,492.44,140 days 19:15:12,23.0,2.0,1.0,1.0,22.0,0.0,1.0,1.0,1.0,1.0,2138.0,765,68,False,True,True,True,Low Activity Leisure
26878,6,0.17,10.83,65,1.36,2023-06-22 19:10:07.000,1,1,0.17,3813.22,3813.22,635.54,280 days 14:49:53,11.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,6296.0,762,17,False,False,True,True,Low Activity Leisure
27425,5,0.2,14.4,72,1.81,2023-06-03 15:33:54.000,1,1,0.2,394.73,394.73,78.95,8 days 17:15:10,10.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0,196.0,760,38,False,True,True,True,Low Activity Leisure
27803,5,0.4,19.6,98,2.43,2023-06-10 19:31:26.000,2,2,0.4,4765.86,2382.93,953.17,6 days 12:57:00.5,13.5,1.0,0.5,1.0,12.5,0.0,0.0,0.5,1.0,1.0,3032.0,759,28,True,False,True,True,Low Activity Leisure
28361,5,0.2,20.2,101,2.5,2023-04-11 19:05:24.000,1,1,0.2,1400.0,1400.0,280.0,4 days 15:54:36,14.0,,,1.0,14.0,0.0,0.0,0.0,0.0,1.0,,758,48,True,True,True,True,Low Activity Leisure
28751,5,0.2,11.2,56,1.39,2023-06-29 09:15:54.000,1,1,0.2,2810.1,2810.1,562.02,7 days 01:44:06,19.0,,,1.0,19.0,0.0,0.0,1.0,0.0,1.0,,757,47,False,True,True,True,Low Activity Leisure
29215,5,0.2,32.2,161,4.0,2023-07-07 17:17:32.000,1,1,0.2,1722.0,1722.0,344.4,21 days 02:26:08,7.0,,,2.0,7.0,0.0,0.0,0.0,0.0,1.0,,756,74,False,True,True,True,Low Activity Leisure
30187,5,0.2,11.0,55,1.39,2023-03-21 19:59:05.000,1,1,0.2,4014.0,4014.0,802.8,19 days 03:36:39,6.0,,,1.0,6.0,0.0,0.0,0.0,0.0,1.0,,754,53,True,True,True,True,Low Activity Leisure
31301,6,0.33,13.0,78,1.62,2023-07-06 05:58:15.000,2,2,0.33,1795.5,897.75,299.25,6 days 18:56:03.5,5.5,,,1.0,5.5,0.0,0.0,0.5,0.0,1.0,,751,43,False,True,True,True,Low Activity Leisure
33565,5,0.2,20.8,104,2.55,2023-07-08 22:45:21.000,1,1,0.2,1144.0,1144.0,228.8,5 days 12:42:28,8.0,,,1.0,8.0,0.0,0.0,0.0,0.0,1.0,,746,22,False,False,True,True,Low Activity Leisure
34696,5,0.2,7.0,35,0.88,2023-06-15 18:45:24.000,1,1,0.2,1159.95,1159.95,231.99,4 days 14:40:23,11.0,,,1.0,11.0,0.0,0.0,1.0,0.0,1.0,,743,49,False,True,True,True,Low Activity Leisure
36027,5,0.2,13.6,68,1.69,2023-05-18 08:41:38.000,1,1,0.2,3204.0,3204.0,640.8,20 days 16:41:00,10.0,,,1.0,10.0,0.0,0.0,1.0,0.0,1.0,,740,29,True,False,True,True,Low Activity Leisure
37867,5,0.4,12.8,64,1.6,2023-07-08 07:36:18.000,2,2,0.4,1454.0,727.0,290.8,4 days 09:15:37,9.0,,,1.0,9.0,0.0,0.0,0.0,0.0,1.0,,735,32,True,False,True,True,Low Activity Leisure
37965,5,0.2,21.4,107,2.64,2023-04-12 12:08:28.000,1,1,0.2,2109.0,2109.0,421.8,7 days 22:51:32,37.0,,,1.0,37.0,0.0,0.0,0.0,0.0,1.0,,735,43,False,False,True,True,Low Activity Leisure
38792,5,0.2,17.6,88,2.19,2023-05-18 06:21:05.000,1,1,0.2,1869.6,1869.6,373.92,5 days 18:59:40,3.0,,,2.0,3.0,0.0,0.0,1.0,0.0,1.0,,732,72,False,True,True,True,Low Activity Leisure
41040,5,0.2,11.0,55,1.37,2023-04-08 15:07:09.000,1,1,0.2,497.8,497.8,99.56,13 days 15:10:04,4.0,,,1.0,4.0,0.0,0.0,1.0,0.0,1.0,,725,21,False,False,True,True,Low Activity Leisure
42175,5,0.2,17.0,85,2.12,2023-07-14 19:34:31.000,1,1,0.2,837.9,837.9,167.58,10 days 17:05:43,7.0,,,1.0,7.0,0.0,0.0,1.0,0.0,1.0,,721,17,False,False,True,True,Low Activity Leisure
