user_id,total_sessions,conversion_rate,avg_page_clicks,total_page_clicks,avg_session_duration_minutes,last_session,total_trips,completed_trips,trips_per_session,total_revenue,avg_revenue_per_trip,revenue_per_session,avg_lead_time,avg_trip_duration,seats,checked_bags,rooms,nights,cancel_rate,one_way_ratio,discount_ratio,flight_ratio,hotel_ratio,avg_distance_km,account_age_days,age,has_children,married,has_trips,has_revenue,segment_label
577,5,,11.4,57,1.41,2023-06-05 17:03:28.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,863,41,False,False,False,False,No Purchase
638,5,,10.0,50,1.25,2023-03-20 11:30:16.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,858,21,False,False,False,False,No Purchase
1046,5,,10.4,52,1.31,2023-03-23 05:19:19.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,844,74,False,True,False,False,No Purchase
4605,7,,8.71,61,1.09,2023-04-27 16:07:01.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,817,26,True,True,False,False,No Purchase
4943,5,,10.8,54,1.33,2023-06-30 19:42:33.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,816,23,False,True,False,False,No Purchase
6392,5,,12.8,64,1.58,2023-07-11 10:25:47.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,811,24,False,False,False,False,No Purchase
6446,5,,17.2,86,2.14,2023-07-04 17:43:32.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,810,47,True,True,False,False,No Purchase
6519,5,,9.2,46,1.13,2023-04-05 19:49:06.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,810,45,False,True,False,False,No Purchase
7005,5,,17.6,88,2.16,2023-05-08 12:57:23.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,809,37,False,False,False,False,No Purchase
8099,6,,10.33,62,1.28,2023-03-10 20:10:36.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,806,17,False,False,False,False,No Purchase
9280,5,,6.6,33,0.81,2023-06-14 04:01:22.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,802,22,True,False,False,False,No Purchase
9387,6,,14.5,87,1.79,2023-06-01 19:49:29.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,802,30,False,False,False,False,No Purchase
9395,5,,9.2,46,1.14,2023-07-09 18:55:45.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,802,17,True,False,False,False,No Purchase
9516,5,,9.2,46,1.14,2023-05-05 15:15:35.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,802,57,True,True,False,False,No Purchase
9996,5,,6.6,33,0.8,2023-05-21 12:10:14.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,800,24,False,False,False,False,No Purchase
11238,5,,15.0,75,1.83,2023-04-17 10:23:36.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,797,83,False,False,False,False,No Purchase
15075,5,,10.8,54,1.35,2023-07-14 11:41:40.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,788,27,False,False,False,False,No Purchase
15340,5,,10.0,50,1.24,2023-02-19 22:48:33.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,787,24,True,False,False,False,No Purchase
15695,5,,8.0,40,1.0,2023-06-21 16:29:22.000,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,787,30,False,True,False,False,No Purchase
